id|code|description|departmentId|type
1030446|N-82 : SALIDA DE COMPRESOR OESTE|N-82 : SALIDA DE COMPRESOR OESTE|151|
1030447|N-83 : SALIDA DE COMPRESOR OESTE|N-83 : SALIDA DE COMPRESOR OESTE|151|
1031869|AIRE ETILENO SL ZONA ANTORCHA|AIRE ETILENO SL ZONA ANTORCHA|150|
1031870|AIRE ETILENO SL ZONA ABAJO HORNO|AIRE ETILENO SL ZONA ABAJO HORNO|150|
1031871|AIRE ETILENO SL ZONA OBRADOR|AIRE ETILENO SL ZONA OBRADOR|150|
1040737|25950244|25950244|121|
1057416|Examen Periodico|Examen Periodico|152|
1061006|13488453|13488453|121|
1061007|14057288|14057288|121|
1061008|18244585|18244585|121|
1061009|20461108|20461108|121|
1061010|22831207|22831207|121|
1061011|23900071|23900071|121|
1061012|24720479|24720479|121|
1061013|24748920|24748920|121|
1061014|25707628|25707628|121|
1061015|25751777|25751777|121|
1061016|26027343|26027343|121|
1061017|28126586|28126586|121|
1061018|8599397|8599397|121|
1061019|14110662|14110662|121|
1061020|14567162|14567162|121|
1061021|14803432|14803432|121|
1061022|16837864|16837864|121|
1061023|16935160|16935160|121|
1061024|17826603|17826603|121|
1061025|20176338|20176338|121|
1061026|21912522|21912522|121|
1061027|23501244|23501244|121|
1061028|26015943|26015943|121|
1061029|27750354|27750354|121|
1061030|31119065|31119065|121|
1066268|26986308|26986308|121|
1066273|31757671|31757671|121|
1066275|32295900|32295900|121|
1073276|14534948|14534948|121|
1073278|20182399|20182399|121|
1073279|21418049|21418049|121|
1073283|31300803|31300803|121|
1073284|28557491|28557491|121|
1073286|26414032|26414032|121|
1075943|CAMION DE EMAGO|CAMION DE EMAGO|21|
1089431|TK BTD RECICLO CIMA|TK BTD RECICLO CIMA|7|
1092535|26332382|26332382|121|
1092536|27290863|27290863|121|
1094337|27862303|27862303|121|
1094345|26977360|26977360|121|
1094352|30550303|30550303|121|
1100815|27318524|27318524|121|
1100818|28572611|28572611|121|
1100821|32674726|32674726|121|
1101274|EEE Muestras Propias|EEE Muestras Propias|141|
1115321|GAS RESIDUAL ETILENO SL|GAS RESIDUAL ETILENO SL|147|
1121369|10538868|10538868|121|
1121371|18402987|18402987|121|
1121372|25397689|25397689|121|
1121374|Especial Contratistas|Especial Contratistas|121|
1121375|Desvio Docimetrias|Desvio Docimetrias|121|
1124600|18068888|18068888|121|
1124601|21548817|21548817|121|
1124602|21690892|21690892|121|
1124604|26884811|26884811|121|
1124605|27244304|27244304|121|
1124606|29849807|29849807|121|
1124607|29922267|29922267|121|
1126350|Contratos Estables|Contratos Estables|121|
1138529|22831145|22831145|121|
1138532|28999518|28999518|121|
1138534|29849896|29849896|121|
1138537|31119043|31119043|121|
1138540|31960820|31960820|121|
1139131|Aire PF6|Aire PF6|123|
1144762|14980721|14980721|121|
1144766|27498505|27498505|121|
1144773|28101137|28101137|121|
1144776|28795790|28795790|121|
1144902|31290228|31290228|121|
1146672|23938937|23938937|121|
1146674|26358573|26358573|121|
1146675|30291620|30291620|121|
1146676|32070154|32070154|121|
1149981|BARCO|BARCO|44|
1151399|17716793|17716793|121|
1151400|24585646|24585646|121|
1151402|25979505|25979505|121|
1151405|26262979|26262979|121|
1151409|28575334|28575334|121|
1151411|31290185|31290185|121|
1155368|28795667|28795667|121|
1155371|16609202|16609202|121|
1155662|27081236|27081236|121|
1155666|32295902|32295902|121|
1155668|26157687|26157687|121|
1155672|30630655|30630655|121|
1155685|28101775|28101775|121|
1155694|25421035|25421035|121|
1155817|32076489|32076489|121|
1160997|Horno Gapsa|Horno Gapsa|121|
1161455|30106678|30106678|121|
1186101|RX FINAL BATCH|RX FINAL BATCH|6|
1186102|RX INTERMEDIO BATCH|RX INTERMEDIO BATCH|6|
1186103|COLUMNA DESPOJADO BATCH|COLUMNA DESPOJADO BATCH|6|
1199169|CAMION DE ESTIRENO|CAMION DE ESTIRENO|21|
1215137|PORTAFEED|PORTAFEED|2|
1233886|AH-101|AH-101|122|
1233887|AV-202|AV-202|122|
1233888|AV-301|AV-301|122|
1233889|AH-402|AH-402|122|
1233891|AV-802|AV-802|122|
1233894|TAMB. PHP|TAMB. PHP|2|
1234150|DD-101|DD-101|122|
1234151|DD-201|DD-201|122|
1234152|DD-301|DD-301|122|
1272696|22831312|22831312|121|
1272723|32074589|32074589|121|
1278270|AGUA SEPARADOR D13-212-A|AGUA SEPARADOR D13-212-A|20|
1278271|AGUA SEPARADOR D13-212-B|AGUA SEPARADOR D13-212-B|20|
1307939|Canalon|Canalon|123|
1310253|Pileta Vacio II|Pileta Vacio II|122|
1311329|17139274|17139274|121|
1311332|32722120|32722120|121|
1311333|30405429|30405429|121|
1311334|29923557|29923557|121|
1331005|AIRE PLANTA EEE ETBZ|AIRE PLANTA EEE ETBZ|106|
1361809|E-14 Succion bba D3-B23098203A|E-14 Succion bba D3-B23098203A|151|
1361810|E-15 Valvula bloqueo|E-15 Valvula bloqueo|151|
1361811|E-16 Valvula bloqueo|E-16 Valvula bloqueo|151|
1371340|CARGA POSTFRACC.|CARGA POSTFRACC.|12|
1375854|23760761|23760761|121|
1375858|25958988|25958988|121|
1375864|28944354|28944354|121|
1386126|TANQUE LPG|TANQUE LPG|12|
1388645|TK-NAFTA|TK-NAFTA|137|
1442631|27747353|27747353|121|
1444584|30695796|30695796|121|
1444592|25971260|25971260|121|
1453673|CARGA RECAR|CARGA RECAR|42|
1453675|REFINADO 11D14 204|REFINADO 11D14 204|42|
1453676|REFINADO 11D14 205|REFINADO 11D14 205|42|
1453677|FDO EXTRACTORA|FDO EXTRACTORA|42|
1453678|FDO WATER STRIPPER|FDO WATER STRIPPER|42|
1453679|COL. LAV. DE EXTRACTO|COL. LAV. DE EXTRACTO|42|
1453681|REFLUJO DE FONDO|REFLUJO DE FONDO|42|
1453682|TETON 11D13 251|TETON 11D13 251|42|
1453683|SDA LAV. REFINADO|SDA LAV. REFINADO|42|
1458808|BARCO ETILBZ|BARCO ETILBZ|19|
1461485|LPG POLIDUCTO|LPG POLIDUCTO|15|
1469042|AIRE INGRESO A PLANTA|AIRE INGRESO A PLANTA|112|
1478963|CIMA DESISOBUTANIZADORA|CIMA DESISOBUTANIZADORA|12|
1478964|FONDO DESISOBUTANIZADORA|FONDO DESISOBUTANIZADORA|12|
1483716|ISOTANQUE I-5|ISOTANQUE I-5|20|
1493343|TK506|TK506|44|
1493344|TK501-506|TK501-506|44|
1524934|LABORATORIO SL|LABORATORIO SL|124|
1548423|BUQUE BENCENO|BUQUE BENCENO|20|
1578554|PILETA API-P1|PILETA API-P1|150|
1578555|ZONA SEPARACION DE GASES-P2|ZONA SEPARACION DE GASES-P2|150|
1578556|ZONA COMPRESOR GAS CRUDO-P3|ZONA COMPRESOR GAS CRUDO-P3|150|
1578557|ZONA CRAQUEO-P4|ZONA CRAQUEO-P4|150|
1594274|CARGA T. PREFRACC|CARGA T. PREFRACC|41|
1610660|INGRESO|INGRESO|112|
1610661|CARGADERO|CARGADERO|112|
1614194|30851852|30851852|121|
1614195|33195276|33195276|121|
1633644|27292323|27292323|121|
1650552|Aire R17|Aire R17|123|
1650553|Aire R18|Aire R18|123|
1664903|SL Planta Fluvial|SL Planta Fluvial|137|
